127.0.0.1 - - [14/Feb/2020:23:23:10 +0530] "GET / HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:23:24 +0530] "GET /RightAtHome/ HTTP/1.1" 200 290236
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:23:25 +0530] "GET /favicon.ico HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:36:09 +0530] "GET /RightAtHome/bootstrap.min.js.map HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:36:09 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:39:58 +0530] "GET /RightAtHome/ HTTP/1.1" 200 290290
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:39:58 +0530] "GET /RightAtHome/bootstrap.min.js.map HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:39:59 +0530] "GET /Web/img/rAth-home.png HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:39:59 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:40:11 +0530] "GET /RightAtHome/ HTTP/1.1" 200 290286
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:40:11 +0530] "GET /RightAtHome/bootstrap.min.js.map HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:40:11 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:40:11 +0530] "GET /img/rAth-home.png HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:40:31 +0530] "GET /RightAtHome/ HTTP/1.1" 200 290291
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:40:31 +0530] "GET /RightAtHome/bootstrap.min.js.map HTTP/1.1" 404 737
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:40:32 +0530] "GET /RightAtHome/bootstrap.min.css.map HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:40:32 +0530] "GET /img/rAth-home.png HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:41:58 +0530] "GET /RightAtHome/ HTTP/1.1" 200 290293
0:0:0:0:0:0:0:1 - - [14/Feb/2020:23:41:58 +0530] "GET /RightAtHome/bootstrap.min.js.map HTTP/1.1" 404 737
